udi,product_id,type,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,twf,hdf,pwf,osf,rnf,temp_diff_k,power_w,temperature_ratio,temp_diff_ratio,torque_speed_product,tool_wear_torque,tool_wear_ratio,torque_per_rpm,rpm_per_torque,torque_squared,rpm_squared,tool_wear_squared,type_L,type_M,type_H
4059,M18918,M,302.0,310.9,1456,47.2,54,0,0,0,0,0,0,8.899999999999977,7196.676675039404,1.0294701986754966,0.029470198675496613,68723.2,2548.8,1.1440677966101693,0.03241758241758242,30.847457627118644,2227.84,2119936,2916,0,1,0
1222,M16081,M,297.0,308.3,1399,46.4,132,0,0,0,0,0,1,11.300000000000011,6797.736295935547,1.038047138047138,0.038047138047138086,64913.6,6124.8,2.844827586206897,0.033166547533952824,30.15086206896552,2152.96,1957201,17424,0,1,0
6896,M21755,M,301.0,311.6,1357,45.6,137,0,0,0,0,0,0,10.600000000000025,6479.974671000451,1.035215946843854,0.0352159468438539,61879.200000000004,6247.2,3.004385964912281,0.033603537214443625,29.75877192982456,2079.36,1841449,18769,0,1,0
9864,L57043,L,298.9,309.8,1411,56.3,84,0,0,0,0,0,0,10.900000000000034,8318.864042877189,1.0364670458347274,0.03646704583472745,79439.3,4729.2,1.4920071047957373,0.03990077958894401,25.062166962699823,3169.6899999999996,1990921,7056,1,0,0
8712,L55891,L,297.1,308.5,1733,28.7,50,0,0,0,0,0,0,11.399999999999975,5208.45693236203,1.038370918882531,0.03837091888253105,49737.1,1435.0,1.7421602787456447,0.016560877091748413,60.383275261324044,823.6899999999999,3003289,2500,1,0,0
9343,H38756,H,298.3,308.9,1706,31.8,8,0,0,0,0,0,0,10.599999999999966,5681.130491045638,1.0355346966141468,0.03553469661414672,54250.8,254.4,0.25157232704402516,0.018640093786635406,53.64779874213836,1011.24,2910436,64,0,0,1
6965,M21824,M,300.7,311.0,1263,52.3,104,0,0,0,0,0,0,10.300000000000011,6917.252952453614,1.034253408713003,0.03425340871300303,66054.9,5439.2,1.988527724665392,0.04140934283452098,24.149139579349907,2735.2899999999995,1595169,10816,0,1,0
691,H30104,H,297.6,309.0,1413,40.2,51,0,0,0,0,0,0,11.399999999999975,5948.3543621599865,1.0383064516129032,0.03830645161290314,56802.600000000006,2050.2000000000003,1.2686567164179103,0.028450106157112527,35.14925373134328,1616.0400000000002,1996569,2601,0,0,1
5093,M19952,M,303.9,313.2,1608,40.6,79,0,0,0,0,0,0,9.300000000000011,6836.608269035965,1.0306021717670286,0.030602171767028667,65284.8,3207.4,1.9458128078817734,0.025248756218905474,39.60591133004926,1648.3600000000001,2585664,6241,0,1,0
461,H29874,H,297.3,308.6,1431,42.0,109,0,0,0,0,0,0,11.300000000000011,6293.866722201792,1.0380087453750422,0.038008745375042084,60102.0,4578.0,2.5952380952380953,0.029350104821802937,34.07142857142857,1764.0,2047761,11881,0,0,1
