udi,product_id,type,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,twf,hdf,pwf,osf,rnf,temp_diff_k,power_w
4059,M18918,M,302.0,310.9,1456,47.2,54,0,0,0,0,0,0,8.899999999999977,7196.676675039404
1222,M16081,M,297.0,308.3,1399,46.4,132,0,0,0,0,0,1,11.300000000000011,6797.736295935547
6896,M21755,M,301.0,311.6,1357,45.6,137,0,0,0,0,0,0,10.600000000000023,6479.974671000451
9864,L57043,L,298.9,309.8,1411,56.3,84,0,0,0,0,0,0,10.900000000000034,8318.864042877189
8712,L55891,L,297.1,308.5,1733,28.7,50,0,0,0,0,0,0,11.399999999999977,5208.45693236203
9343,H38756,H,298.3,308.9,1706,31.8,8,0,0,0,0,0,0,10.599999999999966,5681.130491045638
6965,M21824,M,300.7,311.0,1263,52.3,104,0,0,0,0,0,0,10.300000000000011,6917.252952453614
691,H30104,H,297.6,309.0,1413,40.2,51,0,0,0,0,0,0,11.399999999999977,5948.3543621599865
5093,M19952,M,303.9,313.2,1608,40.6,79,0,0,0,0,0,0,9.300000000000011,6836.608269035965
461,H29874,H,297.3,308.6,1431,42.0,109,0,0,0,0,0,0,11.300000000000011,6293.866722201792
1410,L48589,L,298.9,310.1,1466,42.5,187,0,0,0,0,0,0,11.200000000000045,6524.564342730401
8569,L55748,L,297.9,308.6,1691,29.6,116,0,0,0,0,0,0,10.700000000000045,5241.600734857403
8268,L55447,L,299.2,310.7,1540,36.3,175,0,0,0,0,0,0,11.5,5854.04375069922
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,10.0,6361.882203152011
6342,M21201,M,300.4,309.8,1421,47.2,0,0,0,0,0,0,0,9.400000000000034,7023.679639581725
1416,L48595,L,298.7,309.9,1617,33.0,203,0,0,0,0,0,0,11.199999999999989,5587.9508529401655
388,L47567,L,297.7,308.7,1249,60.4,143,0,0,0,0,0,0,11.0,7900.016438325086
1408,L48587,L,298.9,310.0,1564,33.8,183,0,0,0,0,0,0,11.100000000000023,5535.821358841598
1514,L48693,L,298.1,308.7,1568,32.9,10,0,0,0,0,0,0,10.599999999999966,5402.198951308912
5161,L52340,L,304.1,313.2,1434,50.1,43,0,0,0,0,0,0,9.099999999999966,7523.4232549637645
4201,L51380,L,302.5,311.1,1571,34.2,201,0,0,0,0,0,0,8.600000000000023,5626.403947020104
2121,H31534,H,299.2,308.8,1908,21.3,104,0,0,0,0,0,0,9.600000000000023,4255.852735965021
7344,L54523,L,299.6,310.2,1468,48.0,9,0,0,0,0,0,0,10.599999999999966,7378.972824751707
7988,H37401,H,301.0,312.2,1489,40.3,117,0,0,0,0,0,0,11.199999999999989,6283.886929538887
8227,L55406,L,299.1,310.5,1389,61.4,64,0,0,0,0,0,0,11.399999999999977,8930.982427478135
4537,L51716,L,302.4,310.2,1351,45.1,168,1,0,1,0,0,0,7.800000000000011,6380.585151416381
8226,L55405,L,299.1,310.5,1532,36.6,62,0,0,0,0,0,0,11.399999999999977,5871.762333265467
2920,L50099,L,300.6,309.6,1726,30.0,147,0,0,0,0,0,0,9.0,5422.388920095983
5765,L52944,L,301.7,311.2,1589,37.9,75,0,0,0,0,0,0,9.5,6306.548284546783
1103,L48282,L,296.8,307.5,1347,54.8,43,0,0,0,0,0,0,10.699999999999989,7729.951556010758
8039,L55218,L,300.7,311.8,1486,47.3,19,0,0,0,0,0,0,11.100000000000023,7360.5212038996215
9546,L56725,L,299.6,311.0,1430,38.3,124,0,0,0,0,0,0,11.399999999999977,5735.396268148646
8916,L56095,L,297.1,308.3,1403,54.1,179,0,0,0,0,0,0,11.199999999999989,7948.4702690189515
7059,L54238,L,300.7,310.6,1520,45.9,146,0,0,0,0,0,0,9.900000000000034,7306.087875188424
2427,M17286,M,298.9,308.2,1372,63.6,30,1,0,0,1,0,0,9.300000000000011,9137.762055937417
1420,L48599,L,298.7,309.8,1354,53.3,212,1,0,0,0,1,0,11.100000000000023,7557.43623142663
2218,L49397,L,299.7,309.1,1347,55.3,139,0,0,0,0,0,0,9.400000000000034,7800.480311083849
2963,L50142,L,300.7,309.5,1508,39.9,59,0,0,0,0,0,0,8.800000000000011,6300.903889745832
5446,M20305,M,303.0,312.8,1648,32.1,104,0,0,0,0,0,0,9.800000000000011,5539.758821634097
7753,M22612,M,300.4,311.7,1832,24.2,179,0,0,0,0,0,0,11.300000000000011,4642.687511377044
4006,M18865,M,302.0,311.1,1406,48.8,159,0,0,0,0,0,0,9.100000000000023,7185.1156140741905
1873,L49052,L,298.3,308.1,1326,58.4,90,0,0,0,0,0,0,9.800000000000011,8109.330284858261
8249,L55428,L,298.9,310.3,1456,44.1,118,0,0,0,0,0,0,11.400000000000034,6724.013588331307
9413,L56592,L,298.0,308.5,1702,26.7,203,0,0,0,0,0,0,10.5,4758.821719804747
3746,L50925,L,302.6,311.4,1738,25.8,128,0,0,0,0,0,0,8.799999999999955,4695.6757074675925
1194,L48373,L,297.1,308.2,1347,50.8,49,0,0,0,0,0,0,11.099999999999966,7165.721515426031
5209,L52388,L,303.8,312.7,1664,29.3,178,0,0,0,0,0,0,8.899999999999977,5105.632604810036
8440,L55619,L,298.6,309.8,1637,34.6,207,0,0,0,0,0,0,11.199999999999989,5931.347873928553
5776,L52955,L,301.6,311.1,1907,21.5,102,0,0,0,0,0,0,9.5,4293.56231978361
3727,M18586,M,302.3,311.2,1505,36.7,78,0,0,0,0,0,0,8.899999999999977,5784.038594401728
9286,M24145,M,298.2,309.0,1410,47.6,76,0,0,0,0,0,0,10.800000000000011,7028.371084611086
1216,L48395,L,296.8,307.9,1709,28.4,118,0,0,0,0,0,0,11.099999999999966,5082.636146585759
1192,M16051,M,297.2,308.3,1776,28.0,43,0,0,0,0,0,0,11.100000000000023,5207.503982590441
7179,L54358,L,300.2,310.2,1600,31.5,23,0,0,0,0,0,0,10.0,5277.875658030853
6809,L53988,L,301.0,310.7,1391,45.0,123,0,0,0,0,0,0,9.699999999999989,6554.933071715104
9903,H39316,H,298.7,309.3,1402,45.3,190,0,0,0,0,0,0,10.600000000000023,6650.814479502664
1919,M16778,M,298.1,307.9,1496,40.0,0,0,0,0,0,0,0,9.799999999999955,6266.430146360441
3461,L50640,L,301.5,310.3,1415,41.6,28,0,0,0,0,0,0,8.800000000000011,6164.223665363653
6151,L53330,L,301.1,311.1,1711,29.1,170,0,0,0,0,0,0,10.0,5214.007079383371
1064,M15923,M,296.8,307.8,1664,32.8,142,0,0,0,0,0,0,11.0,5715.520458626935
191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,10.199999999999989,7718.086807755699
474,M15333,M,297.4,309.0,1520,37.0,147,0,0,0,0,0,0,11.600000000000023,5889.439027929666
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,10.0,6150.871896585897
2563,L49742,L,299.3,309.1,1551,39.1,147,0,0,0,0,0,0,9.800000000000011,6350.63530145216
9933,L57112,L,298.3,308.2,1663,28.4,67,0,0,0,0,0,0,9.899999999999977,4945.830258497435
6838,M21697,M,301.0,311.0,1423,38.6,199,0,0,0,0,0,0,10.0,5752.025765261648
5881,L53060,L,301.5,311.1,1434,49.6,129,0,0,0,0,0,0,9.600000000000023,7448.339190542969
7674,M22533,M,300.5,311.6,1476,39.1,199,0,0,0,0,0,0,11.100000000000023,6043.544619563757
6328,L53507,L,300.6,310.0,1425,49.5,174,0,0,0,0,0,0,9.399999999999977,7386.669726753
6282,M21141,M,301.3,310.8,1455,41.2,56,0,0,0,0,0,0,9.5,6277.530440403125
9062,M23921,M,297.2,308.4,1863,26.0,110,0,0,0,0,0,0,11.199999999999989,5072.41549848608
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,10.0,7081.275504897538
6437,L53616,L,300.4,310.0,1769,26.1,38,0,0,0,0,0,0,9.600000000000023,4835.005341654299
5778,L52957,L,301.6,311.1,1408,44.4,106,0,0,0,0,0,0,9.5,6546.576435256554
9772,M24631,M,298.7,309.6,1424,50.4,32,0,0,0,0,0,0,10.900000000000034,7515.694937035934
6678,L53857,L,301.5,310.7,1435,38.5,224,0,0,0,0,0,0,9.199999999999989,5785.504670973403
238,M15097,M,298.0,308.1,1552,36.6,190,0,0,0,0,0,0,10.100000000000023,5948.417194013057
5684,M20543,M,302.2,311.6,1592,37.7,79,0,0,0,0,0,0,9.400000000000034,6285.112150673789
7050,L54229,L,300.6,310.4,1494,47.3,118,0,0,0,0,0,0,9.799999999999955,7400.147159236901
558,M15417,M,297.5,309.4,1433,48.3,139,0,0,0,0,0,0,11.899999999999977,7248.062658876618
8737,L55916,L,297.3,308.7,1491,40.2,112,0,0,0,0,0,0,11.399999999999977,6276.7136263131915
7811,L54990,L,300.1,311.5,2218,17.0,123,0,0,0,0,0,0,11.399999999999977,3948.5630865418916
4030,H33443,H,302.0,310.9,1679,29.0,222,0,0,0,0,0,0,8.899999999999977,5098.909596531354
2352,L49531,L,299.2,308.4,1393,48.4,35,0,0,0,0,0,0,9.199999999999989,7060.331553873606
